Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Assessment Score,Study Time per Day (hrs),Material Name,Material Level,IQ of Student
Unni Gara,11,Male,India,West Bengal,Siliguri,Farmer,Middle,7,3,History,65,1.8,Video Lesson,1,89
Rushil Pradhan,15,Female,India,West Bengal,Asansol,Engineer,Middle,7,4,History,49,0.7,E-Book,1,104
Janani Gill,17,Female,India,Karnataka,Mysore,Engineer,Low,11,3,English,67,3.5,Interactive Quiz,1,116
Pooja Gala,12,Male,India,Gujarat,Ahmedabad,Software Developer,Low,10,2,Computer Science,77,1.0,Textbook,1,103
Mugdha Gala,11,Other,India,Tamil Nadu,Chennai,Government Employee,Middle,9,4,Science,35,2.7,Video Lesson,1,105
Ucchal Arya,11,Male,India,West Bengal,Kolkata,Software Developer,High,3,2,Computer Science,88,1.8,Interactive Quiz,1,98
Amruta Bhatti,10,Male,India,Karnataka,Mysore,Engineer,Low,5,5,Science,34,4.1,Textbook,2,111
Dalbir Ramakrishnan,15,Other,India,Gujarat,Surat,Government Employee,Middle,7,4,Computer Science,8,1.2,Textbook,3,132
Maya Majumdar,18,Female,India,Tamil Nadu,Coimbatore,Teacher,Low,1,5,History,74,1.1,Interactive Quiz,1,127
Teerth Goel,15,Male,India,Karnataka,Mysore,Engineer,High,3,2,History,47,1.4,E-Book,3,107
Harini Kulkarni,10,Other,India,Rajasthan,Jodhpur,Government Employee,Middle,7,2,Computer Science,3,3.7,Video Lesson,2,133
Meghana Ramesh,12,Other,India,West Bengal,Asansol,Software Developer,High,8,2,History,100,1.9,Interactive Quiz,3,110
Meghana Iyer,12,Other,India,Uttar Pradesh,Lucknow,Government Employee,Middle,4,5,Mathematics,76,2.5,Video Lesson,1,116
Vrinda Bali,10,Female,India,Gujarat,Vadodara,Farmer,Middle,7,4,History,51,4.9,Interactive Quiz,3,106
Manya Babu,12,Female,India,Maharashtra,Mumbai,Doctor,Low,7,5,Computer Science,69,1.7,Video Lesson,2,104
Jeevika Nair,17,Female,India,West Bengal,Asansol,Farmer,High,9,2,Science,95,2.3,E-Book,1,118
Aarav Ram,15,Other,India,Rajasthan,Jaipur,Teacher,Middle,8,4,History,2,4.0,E-Book,3,103
Yadavi Purohit,18,Male,India,Gujarat,Surat,Teacher,Middle,5,5,English,30,1.6,Video Lesson,1,86
Janaki Sant,18,Male,India,Tamil Nadu,Chennai,Business Owner,Middle,10,1,English,85,4.6,E-Book,3,133
Max Goel,11,Female,India,Maharashtra,Nagpur,Software Developer,High,5,2,English,87,1.4,Interactive Quiz,1,134
Pahal Balakrishnan,18,Female,India,West Bengal,Siliguri,Software Developer,High,6,4,Computer Science,95,3.2,E-Book,1,126
Dipta Varkey,12,Female,India,Rajasthan,Jaipur,Engineer,Low,4,1,Science,60,0.7,Interactive Quiz,3,101
Pushti Sheth,15,Female,India,Maharashtra,Mumbai,Doctor,Low,6,4,History,96,0.8,Textbook,1,91
Madhav Sule,17,Other,India,West Bengal,Kolkata,Doctor,Middle,4,5,Mathematics,79,4.8,Video Lesson,3,105
Mahika Rao,17,Other,India,West Bengal,Kolkata,Teacher,High,9,3,Mathematics,100,2.7,E-Book,1,90
Ansh Iyer,18,Other,India,Maharashtra,Nagpur,Farmer,Middle,7,4,History,77,4.3,Textbook,1,110
Mugdha Kalita,14,Other,India,West Bengal,Asansol,Doctor,Middle,2,1,Science,29,1.1,Textbook,1,111
Dhruv Vala,17,Female,India,Karnataka,Mysore,Farmer,High,3,3,English,85,2.7,E-Book,2,99
Upasna Bava,18,Male,India,Karnataka,Bangalore,Government Employee,Middle,6,1,History,52,4.1,Interactive Quiz,1,99
Lopa Dyal,10,Female,India,West Bengal,Siliguri,Teacher,Low,8,4,Computer Science,36,1.8,Video Lesson,3,85
Kashvi Kota,12,Other,India,West Bengal,Siliguri,Business Owner,Low,12,1,History,25,2.4,Textbook,1,97
Ijaya Balan,18,Female,India,Karnataka,Mysore,Engineer,Low,4,3,Computer Science,82,4.3,Textbook,2,84
Yauvani Bali,11,Male,India,Karnataka,Bangalore,Engineer,High,5,3,Mathematics,29,3.0,Interactive Quiz,3,116
Gaurika Kade,18,Female,India,Karnataka,Bangalore,Doctor,Low,1,1,English,59,2.3,E-Book,2,105
Janani Pathak,11,Female,India,Maharashtra,Nagpur,Doctor,High,8,1,Mathematics,61,4.5,E-Book,2,106
Nathaniel Pall,17,Female,India,West Bengal,Siliguri,Software Developer,Low,10,4,English,82,4.0,Video Lesson,1,108
Varsha Parmer,16,Male,India,Tamil Nadu,Madurai,Government Employee,High,9,5,Mathematics,40,2.3,E-Book,3,111
Imaran Dani,16,Female,India,Tamil Nadu,Chennai,Government Employee,Low,5,1,English,22,4.9,Video Lesson,1,102
Nitara Balay,14,Male,India,Gujarat,Vadodara,Engineer,Low,3,3,History,95,2.0,Interactive Quiz,3,92
Madhav Rajan,17,Female,India,Tamil Nadu,Chennai,Engineer,High,2,3,English,67,2.9,Video Lesson,2,111
Daksha Peri,16,Other,India,Karnataka,Bangalore,Doctor,Low,11,4,History,97,1.0,Textbook,3,81
Ekaja Sane,12,Female,India,Karnataka,Bangalore,Engineer,Middle,2,1,English,0,0.7,Textbook,3,129
Hiral Bahl,14,Male,India,Maharashtra,Pune,Teacher,High,12,2,English,64,3.6,Textbook,1,133
Lopa Buch,17,Male,India,West Bengal,Kolkata,Government Employee,Middle,6,3,Mathematics,66,1.5,E-Book,1,114
Peter Chokshi,13,Male,India,Rajasthan,Udaipur,Software Developer,High,9,3,History,44,2.4,Video Lesson,1,92
Banjeet Bava,18,Male,India,Maharashtra,Pune,Business Owner,Middle,9,4,Computer Science,2,1.0,Textbook,3,115
Turvi Barman,12,Female,India,Rajasthan,Udaipur,Doctor,High,8,1,Computer Science,91,3.0,Textbook,2,120
Baghyawati Narain,11,Male,India,Uttar Pradesh,Kanpur,Software Developer,High,6,2,History,51,3.4,E-Book,1,99
Tara Aggarwal,10,Male,India,West Bengal,Asansol,Software Developer,Low,12,4,Science,40,4.6,Interactive Quiz,2,133
Yug Khanna,14,Female,India,Uttar Pradesh,Lucknow,Government Employee,High,9,5,Computer Science,25,2.4,Video Lesson,1,129
Hemani Natarajan,15,Other,India,Karnataka,Mysore,Doctor,High,2,3,Science,55,4.8,Textbook,3,101
Avni Arya,16,Other,India,Uttar Pradesh,Lucknow,Farmer,Low,1,5,Mathematics,9,0.6,E-Book,3,131
Naveen Kapur,13,Other,India,Karnataka,Mysore,Engineer,High,2,1,History,63,4.0,Textbook,2,91
Lohit Arora,13,Other,India,Gujarat,Ahmedabad,Engineer,Middle,6,4,Mathematics,19,4.4,Video Lesson,3,120
Ekani Dhawan,10,Female,India,Karnataka,Bangalore,Teacher,Middle,7,1,Computer Science,80,3.3,Textbook,3,104
Tara Rana,11,Female,India,Tamil Nadu,Madurai,Software Developer,Middle,12,5,English,11,4.6,Interactive Quiz,1,136
Aarush Bhatti,11,Female,India,Rajasthan,Udaipur,Teacher,Low,2,3,Science,81,4.9,Textbook,3,132
Netra Gola,12,Male,India,Uttar Pradesh,Varanasi,Software Developer,Low,2,3,History,40,1.9,Video Lesson,3,138
Radha Narain,15,Other,India,West Bengal,Asansol,Doctor,Middle,12,5,History,54,2.5,E-Book,3,81
Yauvani Nayak,16,Male,India,West Bengal,Kolkata,Government Employee,Middle,4,3,Computer Science,17,1.3,Video Lesson,2,87
Rohan Dugal,13,Other,India,Rajasthan,Jaipur,Farmer,Middle,11,2,History,16,2.0,Textbook,1,135
Wyatt Som,12,Female,India,Gujarat,Vadodara,Teacher,High,12,5,History,50,4.0,Interactive Quiz,1,114
Sanaya Patla,17,Male,India,Uttar Pradesh,Lucknow,Business Owner,Middle,7,5,History,0,4.7,E-Book,1,92
Samar Panchal,12,Male,India,Uttar Pradesh,Varanasi,Business Owner,Middle,12,2,Mathematics,55,3.4,Textbook,3,115
Kamala Vora,18,Male,India,Gujarat,Vadodara,Doctor,Low,8,2,English,16,1.2,Textbook,3,119
Girindra Lad,18,Male,India,West Bengal,Asansol,Business Owner,Low,7,5,History,95,4.2,Interactive Quiz,2,105
Jairaj Wali,10,Other,India,Maharashtra,Pune,Software Developer,High,2,5,History,42,4.4,E-Book,3,81
Ishwar Garg,15,Female,India,Karnataka,Hubli,Software Developer,Low,6,1,Mathematics,33,3.1,Textbook,3,131
Luke Tiwari,13,Female,India,Maharashtra,Mumbai,Doctor,High,7,1,Science,18,1.1,Interactive Quiz,1,139
Falak Kapur,11,Male,India,West Bengal,Asansol,Software Developer,High,10,3,Mathematics,42,3.8,Textbook,2,118
Dayita Parmar,15,Female,India,Uttar Pradesh,Kanpur,Business Owner,High,4,5,History,61,2.0,E-Book,3,110
Yatin Kannan,12,Male,India,West Bengal,Kolkata,Farmer,Middle,7,5,Science,81,3.5,Textbook,1,87
Kai Parmar,15,Other,India,Gujarat,Surat,Software Developer,High,5,2,English,90,2.5,Textbook,1,108
Fariq Agarwal,14,Female,India,Uttar Pradesh,Varanasi,Engineer,Middle,9,2,History,73,0.7,E-Book,3,140
Baljiwan Nigam,16,Female,India,West Bengal,Asansol,Government Employee,High,12,2,English,54,2.0,Textbook,3,94
Dipta Khosla,15,Male,India,Gujarat,Vadodara,Business Owner,High,10,4,History,32,1.2,Video Lesson,1,138
Chandresh Garde,16,Female,India,Rajasthan,Jaipur,Business Owner,Low,6,1,Mathematics,24,5.0,Interactive Quiz,1,93
Yashasvi Dora,17,Other,India,Karnataka,Mysore,Farmer,Middle,3,3,Mathematics,11,4.7,E-Book,1,137
Bhanumati Khalsa,15,Male,India,Maharashtra,Nagpur,Engineer,Middle,3,4,Mathematics,87,3.9,Textbook,1,116
Ishanvi Khare,11,Male,India,Maharashtra,Pune,Farmer,Middle,10,1,English,53,1.5,Textbook,2,113
Christopher Chacko,10,Other,India,Maharashtra,Pune,Government Employee,Low,5,5,Computer Science,34,2.1,Interactive Quiz,3,99
Aashi Rau,13,Other,India,Maharashtra,Mumbai,Software Developer,High,6,1,Science,59,2.0,Video Lesson,1,140
Jai Yadav,18,Male,India,Uttar Pradesh,Kanpur,Engineer,Middle,10,3,Science,4,1.4,Interactive Quiz,1,103
Nandini Lala,16,Male,India,Gujarat,Vadodara,Engineer,High,8,2,Science,34,3.9,Textbook,2,118
Tanveer Sanghvi,15,Female,India,West Bengal,Asansol,Software Developer,Middle,1,4,History,24,0.9,Interactive Quiz,2,124
Madhav Raju,13,Other,India,Rajasthan,Udaipur,Software Developer,Middle,5,3,Science,45,2.7,Video Lesson,1,116
Chaman Hari,12,Female,India,Maharashtra,Nagpur,Engineer,Middle,12,5,History,33,3.8,E-Book,3,128
Yashoda Dave,15,Female,India,Rajasthan,Jodhpur,Government Employee,Low,3,4,Computer Science,27,3.8,Textbook,3,136
Chavvi Rana,17,Other,India,Tamil Nadu,Chennai,Business Owner,High,6,3,Computer Science,23,4.7,Textbook,2,112
Zayyan Sarraf,11,Male,India,West Bengal,Asansol,Doctor,Middle,12,2,English,26,4.7,Textbook,2,134
Simon Deo,14,Male,India,Rajasthan,Udaipur,Government Employee,Low,7,4,History,5,3.2,Interactive Quiz,1,121
Niharika Viswanathan,17,Other,India,Uttar Pradesh,Lucknow,Software Developer,Middle,5,2,Mathematics,38,2.8,E-Book,1,118
Indali Wason,14,Other,India,Karnataka,Bangalore,Doctor,Middle,7,1,Science,92,1.0,Video Lesson,1,127
Nirja Wali,18,Male,India,Tamil Nadu,Madurai,Doctor,Low,9,1,History,73,2.7,Textbook,1,109
Tanveer Venkatesh,15,Other,India,Tamil Nadu,Madurai,Farmer,Low,8,5,History,70,1.4,Interactive Quiz,1,85
Ucchal Vasa,14,Other,India,Karnataka,Mysore,Government Employee,High,9,5,English,34,3.5,Video Lesson,1,112
Onveer Mallick,10,Male,India,Gujarat,Vadodara,Farmer,High,6,3,History,67,1.4,Textbook,3,130
Krishna More,15,Female,India,West Bengal,Kolkata,Software Developer,Low,8,5,History,25,4.0,Video Lesson,1,121
Chaman Borra,15,Female,India,Gujarat,Vadodara,Teacher,Low,11,4,History,52,3.1,Textbook,1,134
Christopher Sandhu,11,Male,India,Rajasthan,Jaipur,Teacher,High,2,2,History,24,2.4,E-Book,1,113
Banjeet Setty,13,Other,India,Tamil Nadu,Chennai,Teacher,High,3,3,English,39,3.0,Textbook,2,85
Raksha Salvi,13,Male,India,Maharashtra,Mumbai,Farmer,Low,4,4,Mathematics,100,2.5,E-Book,1,99
Chaitanya Agrawal,15,Male,India,Rajasthan,Udaipur,Business Owner,High,2,4,Science,57,3.2,Video Lesson,3,84
Advay Chakrabarti,14,Male,India,Tamil Nadu,Coimbatore,Teacher,Low,11,3,English,11,1.6,Interactive Quiz,1,88
Nilima Kohli,16,Other,India,Uttar Pradesh,Kanpur,Teacher,Low,3,4,Computer Science,99,3.7,Interactive Quiz,1,86
Adweta Issac,18,Female,India,Tamil Nadu,Madurai,Teacher,Low,3,3,English,83,3.9,Textbook,1,80
Hemal Datta,15,Male,India,Tamil Nadu,Coimbatore,Business Owner,Low,9,3,History,33,3.8,E-Book,2,110
Tanay Ahluwalia,14,Female,India,Karnataka,Mysore,Doctor,Low,12,3,Computer Science,37,4.7,Video Lesson,1,101
Yasti Lata,13,Male,India,Tamil Nadu,Chennai,Software Developer,Low,11,3,History,76,2.5,E-Book,1,108
Jacob Sahota,12,Other,India,West Bengal,Kolkata,Government Employee,Low,12,5,Science,87,2.4,Interactive Quiz,1,116
Yamini Parikh,14,Female,India,Uttar Pradesh,Lucknow,Business Owner,Middle,5,3,Science,84,4.4,E-Book,3,119
Gautam Bora,10,Other,India,Tamil Nadu,Madurai,Business Owner,Low,9,5,English,79,5.0,E-Book,3,82
Gagan Khanna,15,Female,India,Gujarat,Vadodara,Software Developer,Middle,8,5,Mathematics,85,3.5,E-Book,3,95
Akshay Dora,12,Male,India,Gujarat,Vadodara,Farmer,High,5,2,Computer Science,14,1.4,Interactive Quiz,2,103
Ekani Kale,18,Other,India,Rajasthan,Jodhpur,Farmer,High,4,1,Computer Science,3,1.4,Textbook,3,85
Brijesh Sathe,12,Other,India,Gujarat,Ahmedabad,Farmer,Low,12,4,Mathematics,48,3.2,Video Lesson,2,109
Upma Ram,17,Other,India,Uttar Pradesh,Kanpur,Doctor,Middle,6,5,Mathematics,48,3.1,Video Lesson,1,110
Dipta Dhar,18,Male,India,West Bengal,Siliguri,Engineer,High,11,3,Science,77,4.3,Video Lesson,1,130
Janya Mukherjee,13,Other,India,Maharashtra,Mumbai,Engineer,Middle,3,4,History,99,3.8,Textbook,3,81
Dhruv Dube,10,Male,India,Uttar Pradesh,Kanpur,Doctor,Low,6,5,English,85,1.0,Interactive Quiz,3,91
Ayaan Bajaj,12,Male,India,Rajasthan,Jaipur,Farmer,Low,7,4,Computer Science,27,1.0,Textbook,2,103
Upkaar Rao,10,Other,India,Karnataka,Mysore,Software Developer,Low,1,4,Science,1,2.0,Video Lesson,3,92
Siddharth Dubey,15,Female,India,Karnataka,Bangalore,Engineer,Middle,12,4,Computer Science,67,5.0,Interactive Quiz,3,85
Urishilla Hora,16,Female,India,Rajasthan,Jaipur,Business Owner,Low,7,2,Computer Science,93,3.2,E-Book,1,114
Aarush Hans,14,Male,India,Uttar Pradesh,Varanasi,Doctor,Middle,6,3,English,61,3.5,Interactive Quiz,3,134
Vasana Sen,17,Female,India,Karnataka,Mysore,Government Employee,Middle,6,3,Science,61,1.5,Video Lesson,1,104
Siddharth Gandhi,10,Male,India,West Bengal,Asansol,Engineer,High,12,1,History,5,2.0,E-Book,3,90
Teerth Varty,13,Female,India,Gujarat,Ahmedabad,Engineer,Low,11,4,English,76,1.8,Interactive Quiz,1,127
Maanas Mukhopadhyay,10,Male,India,Uttar Pradesh,Varanasi,Farmer,High,10,4,History,62,2.9,E-Book,3,140
Advaith Sheth,13,Male,India,West Bengal,Siliguri,Engineer,Low,1,1,Science,30,4.9,E-Book,1,84
Ladli Nagi,13,Female,India,Rajasthan,Udaipur,Farmer,Low,9,2,History,13,3.1,Video Lesson,3,109
Ekiya Banik,17,Female,India,Uttar Pradesh,Varanasi,Farmer,Middle,11,1,Computer Science,63,0.5,Interactive Quiz,2,117
Samarth Parsa,18,Female,India,Karnataka,Mysore,Doctor,Low,7,1,History,31,3.1,Interactive Quiz,1,116
Aadhya Lata,13,Male,India,Tamil Nadu,Madurai,Farmer,Low,5,4,History,5,4.9,Interactive Quiz,3,89
Rehaan Manda,18,Female,India,Karnataka,Hubli,Business Owner,Low,12,4,History,9,1.6,Video Lesson,2,115
Urvi Shukla,13,Other,India,Maharashtra,Mumbai,Software Developer,High,9,4,Computer Science,72,1.5,Video Lesson,3,133
Tanmayi Dugar,16,Female,India,West Bengal,Siliguri,Business Owner,Middle,3,4,English,64,4.8,E-Book,3,113
Rishi Garg,15,Other,India,West Bengal,Siliguri,Software Developer,High,10,3,English,100,0.8,E-Book,1,108
Warda Badami,15,Other,India,Uttar Pradesh,Kanpur,Doctor,Low,5,3,English,59,1.2,Interactive Quiz,2,108
Ishwar Khanna,11,Male,India,Maharashtra,Pune,Government Employee,Middle,1,2,Science,51,2.2,Video Lesson,2,121
Forum Raval,11,Female,India,Gujarat,Ahmedabad,Doctor,Low,9,2,Computer Science,47,3.4,Video Lesson,2,113
Zaitra Bala,14,Male,India,Uttar Pradesh,Varanasi,Teacher,High,4,3,Science,92,4.4,E-Book,1,110
Oscar Nair,16,Male,India,Tamil Nadu,Coimbatore,Engineer,Low,10,5,History,0,1.3,Textbook,3,84
Nathan Dayal,15,Male,India,West Bengal,Siliguri,Business Owner,High,6,2,Mathematics,60,3.0,Video Lesson,2,125
Nidra Gulati,10,Female,India,Tamil Nadu,Coimbatore,Software Developer,High,2,1,History,58,3.7,Textbook,2,136
Advik Tiwari,10,Female,India,Gujarat,Vadodara,Engineer,Low,11,1,History,53,4.2,Textbook,2,137
Gayathri Solanki,18,Female,India,Rajasthan,Jodhpur,Doctor,High,4,1,History,62,1.2,Interactive Quiz,1,118
Brijesh Jani,18,Female,India,Tamil Nadu,Coimbatore,Government Employee,Middle,1,2,Computer Science,84,1.1,E-Book,2,116
Nihal Dara,18,Other,India,Uttar Pradesh,Varanasi,Farmer,Low,9,2,History,98,2.7,Textbook,3,98
Tripti Kala,15,Female,India,Rajasthan,Jaipur,Teacher,Middle,10,1,History,54,4.1,E-Book,1,99
Advay Gill,11,Other,India,Rajasthan,Jaipur,Business Owner,Middle,1,4,English,60,1.1,Interactive Quiz,3,87
Omaja Lal,12,Other,India,Rajasthan,Jodhpur,Engineer,Middle,4,1,English,8,0.7,Interactive Quiz,2,90
Mohammed Choudhury,14,Male,India,Gujarat,Vadodara,Government Employee,Middle,4,4,History,30,1.9,Interactive Quiz,1,84
Harsh Shenoy,18,Female,India,Maharashtra,Nagpur,Doctor,High,8,5,History,76,1.3,E-Book,2,134
Yasti Gokhale,18,Female,India,Tamil Nadu,Chennai,Doctor,Middle,3,5,History,69,2.6,Textbook,1,131
Lakshit Sahota,11,Male,India,Uttar Pradesh,Varanasi,Government Employee,Low,7,2,Mathematics,66,1.8,Video Lesson,2,133
Ikshita Bobal,12,Other,India,Uttar Pradesh,Lucknow,Engineer,High,1,1,Mathematics,14,2.8,Video Lesson,3,126
Hitesh Balan,11,Other,India,Uttar Pradesh,Lucknow,Teacher,High,4,3,History,15,1.5,Textbook,3,82
Mugdha Wagle,16,Other,India,West Bengal,Siliguri,Doctor,Middle,12,2,Computer Science,43,4.9,Interactive Quiz,3,118
Reyansh Thakur,10,Male,India,Tamil Nadu,Madurai,Software Developer,Low,5,4,Science,87,3.5,Interactive Quiz,2,89
Mitesh Sagar,18,Other,India,Karnataka,Mysore,Software Developer,Middle,4,3,Mathematics,55,4.7,E-Book,1,121
Anvi Grover,17,Other,India,Karnataka,Bangalore,Engineer,Low,12,4,English,75,4.5,Video Lesson,2,97
Osha Gera,15,Other,India,Rajasthan,Jodhpur,Business Owner,Low,3,5,Science,95,1.1,Textbook,1,82
Yashodhara Ram,13,Other,India,Tamil Nadu,Chennai,Farmer,Middle,12,2,English,78,4.6,E-Book,2,95
Farhan Choudhury,11,Other,India,Rajasthan,Jodhpur,Farmer,Middle,3,1,Mathematics,35,1.6,Video Lesson,2,90
Dalaja Kala,12,Other,India,Karnataka,Mysore,Government Employee,Low,1,4,Computer Science,83,1.0,Video Lesson,3,121
Farhan Varughese,10,Other,India,Karnataka,Bangalore,Doctor,High,2,3,Computer Science,17,2.3,Textbook,2,116
Nandini Parekh,18,Male,India,Karnataka,Bangalore,Farmer,High,8,2,Computer Science,16,2.5,Interactive Quiz,3,121
Vedhika Krishna,16,Male,India,Tamil Nadu,Chennai,Engineer,High,4,4,History,18,2.3,Textbook,1,122
Faqid Loyal,17,Female,India,Maharashtra,Pune,Doctor,Middle,9,4,English,12,2.8,E-Book,2,127
Sara Rout,13,Male,India,Tamil Nadu,Chennai,Business Owner,Low,8,3,English,71,2.1,Video Lesson,1,87
Anya Sachar,15,Female,India,Maharashtra,Nagpur,Government Employee,High,8,1,Mathematics,93,3.8,Video Lesson,1,85
Aarush Dayal,12,Other,India,Rajasthan,Udaipur,Farmer,Low,11,5,English,94,3.7,Textbook,2,110
Vritti Bhavsar,15,Female,India,Rajasthan,Jodhpur,Farmer,Middle,2,1,Computer Science,83,0.6,Video Lesson,1,123
Barkha Khurana,15,Male,India,Tamil Nadu,Madurai,Farmer,Middle,9,5,Science,35,2.0,Interactive Quiz,3,84
Ishwar Sankar,13,Female,India,Maharashtra,Mumbai,Government Employee,Middle,9,1,Computer Science,69,3.3,E-Book,3,117
Ridhi Joshi,13,Other,India,West Bengal,Asansol,Teacher,Middle,5,2,Mathematics,9,1.2,E-Book,1,139
Libni Mohanty,11,Male,India,Rajasthan,Jodhpur,Business Owner,Middle,5,2,History,13,3.4,Video Lesson,2,88
Chanakya Dugar,12,Female,India,Karnataka,Mysore,Teacher,Low,12,2,Computer Science,46,1.0,E-Book,2,137
Unnati Mohanty,13,Male,India,Maharashtra,Mumbai,Doctor,Low,1,3,English,30,4.1,Textbook,3,90
Aadi Zacharia,11,Male,India,Maharashtra,Pune,Business Owner,High,10,1,Mathematics,8,4.3,E-Book,2,130
Om Oak,14,Female,India,Tamil Nadu,Madurai,Teacher,Low,8,1,Science,0,3.2,Interactive Quiz,1,100
Ikbal Pandit,17,Female,India,Gujarat,Ahmedabad,Software Developer,Middle,11,5,Computer Science,84,1.5,Video Lesson,1,104
Girindra Kashyap,10,Male,India,Karnataka,Mysore,Teacher,High,8,1,Science,10,4.3,Interactive Quiz,3,82
Hitesh Hans,14,Male,India,Gujarat,Surat,Government Employee,Middle,6,2,Science,2,1.1,Video Lesson,2,127
Nilima Padmanabhan,18,Male,India,Maharashtra,Pune,Engineer,High,10,5,Mathematics,75,3.4,E-Book,3,128
Manan Oza,11,Male,India,Maharashtra,Nagpur,Farmer,High,10,5,Mathematics,8,2.9,E-Book,3,140
Frado Muni,14,Female,India,Tamil Nadu,Chennai,Business Owner,High,7,2,History,16,4.0,Interactive Quiz,1,81
